dataset,partition,num_clients,seed,round,client_id,global_l1o_acc,l1o_acc_contribution,global_l1o_adv,l1o_adv_contribution,global_l1o_loss,l1o_loss_contribution,global_l1o_priv,l1o_priv_contribution,global_l1o_rob,l1o_rob_contribution,acc_contribution
imdb,iid,4,123,4,2,0.868,-0.0003999999999999,0.4529953917050691,0.0064269900468471,0.308512270450592,0.0014204382896423,0.7227222222222223,-0.0156555555555555,0.748472,-0.0004039999999999,-0.0003999999999999
imdb,iid,4,123,4,3,0.868,0.0033999999999999,0.4529953917050691,-0.0020127045244011,0.308512270450592,0.0016405582427978,0.7227222222222223,5.555555555569747e-05,0.748472,-7.00000000000145e-05,0.0033999999999999
imdb,iid,4,123,5,0,0.8704,0.0003999999999999,0.4375,-0.0025,0.3031515777111053,0.0002654194831848,0.6763555555555556,0.0181999999999999,0.7449479999999999,0.0008039999999999,0.0003999999999999
imdb,iid,4,123,5,1,0.8704,-0.0002,0.4375,0.0021680450264185,0.3031515777111053,0.0019473731517791,0.6763555555555556,-0.0209777777777777,0.7449479999999999,-0.000202,-0.0002
imdb,iid,4,123,5,2,0.8704,-0.001,0.4375,0.002338191416112,0.3031515777111053,0.0014306008815765,0.6763555555555556,-0.0301333333333333,0.7449479999999999,0.0002619999999999,-0.001
imdb,iid,4,123,5,3,0.8704,0.002,0.4375,-0.0065350069092584,0.3031515777111053,0.0019464194774627,0.6763555555555556,0.0167111111111111,0.7449479999999999,8.799999999986596e-05,0.002
imdb,iid,4,123,6,0,0.8742,0.0008,0.4266758178906428,-0.0054286016193182,0.2967155575752258,0.0004698932170867,0.6833111111111112,0.0014666666666667,0.7400439999999999,-2.4000000000024e-05,0.0008
imdb,iid,4,123,6,1,0.8742,-0.0006,0.4266758178906428,0.0032647525042688,0.2967155575752258,0.0018907487392425,0.6833111111111112,-0.032533333333333,0.7400439999999999,-0.000998,-0.0006
imdb,iid,4,123,6,2,0.8742,-0.0004,0.4266758178906428,0.0020245487390306,0.2967155575752258,0.0013817250728607,0.6833111111111112,-0.0035777777777776,0.7400439999999999,0.0004579999999998,-0.0004
imdb,iid,4,123,6,3,0.8742,0.002,0.4266758178906428,-0.0041886627330672,0.2967155575752258,0.0016446113586425,0.6833111111111112,0.0141999999999999,0.7400439999999999,-0.00098,0.002
imdb,iid,4,123,7,0,0.8764,0.0015999999999999,0.4148790506617982,-0.0032736699600581,0.2891486883163452,0.0007121264934539,0.7181111111111111,0.0036888888888888,0.73752,0.0002639999999999,0.0015999999999999
imdb,iid,4,123,7,1,0.8764,-0.0008,0.4148790506617982,-0.0005336260367881,0.2891486883163452,0.0019198656082153,0.7181111111111111,0.0069555555555556,0.73752,0.0011219999999999,-0.0008
imdb,iid,4,123,7,2,0.8764,-0.002,0.4148790506617982,0.0029938047601589,0.2891486883163452,0.0016253292560577,0.7181111111111111,0.0063777777777775,0.73752,0.0016339999999999,-0.002
imdb,iid,4,123,7,3,0.8764,0.0007999999999999,0.4148790506617982,-0.0024347912751592,0.2891486883163452,0.0017264187335968,0.7181111111111111,0.0002444444444444,0.73752,-0.001182,0.0007999999999999
imdb,iid,4,123,8,0,0.8796,0.0006,0.4015461573442473,-0.0014117493679255,0.2803764045238495,0.0010578632354736,0.7876555555555556,-0.011411111111111,0.7312460000000001,-0.0011879999999999,0.0006
imdb,iid,4,123,8,1,0.8796,-0.0023999999999999,0.4015461573442473,-0.0002679016126687,0.2803764045238495,0.0022405087947845,0.7876555555555556,-0.0142555555555554,0.7312460000000001,-0.0005839999999999,-0.0023999999999999
imdb,iid,4,123,8,2,0.8796,0.0,0.4015461573442473,0.0022737608003637,0.2803764045238495,0.0018260478973388,0.7876555555555556,-0.0157888888888888,0.7312460000000001,0.000388,0.0
imdb,iid,4,123,8,3,0.8796,-0.0001999999999999,0.4015461573442473,-0.0033185846425677,0.2803764045238495,0.0021387636661529,0.7876555555555556,-0.0209222222222222,0.7312460000000001,-0.0004819999999998,-0.0001999999999999
