dataset,partition,num_clients,seed,round,client_id,global_gtg_rob,gtg_rob_contribution,global_gtg_adv,gtg_adv_contribution,global_gtg_fair,gtg_fair_contribution,global_gtg_priv,gtg_priv_contribution,gtg_priv_abs_contribution,global_gtg_fair_eo,gtg_fair_eo_contribution,gtg_fair_eo_abs_contribution,accuracy,precision,recall,f1,loss,loss_contribution,acc_contribution,global_gtg_loss,global_gtg_acc
cifar,noniid,20,42,2,0,1.0,0.0,1.0,0.0,1.0,0.0,0.8124888888888888,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,0.0,0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,1,1.0,0.0,1.0,0.0,1.0,0.0,0.8124888888888888,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,-0.0570995911307956,0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,2,1.0,0.0,1.0,0.0,1.0,0.0,0.8124888888888888,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,0.0,0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,3,1.0,0.0,1.0,0.0,1.0,0.0,0.8124888888888888,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,0.0,0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,4,1.0,0.0,1.0,0.0,1.0,0.0,0.8124888888888888,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,0.0,0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,5,1.0,0.0,1.0,0.0,1.0,0.0,0.8124888888888888,0.0011215523215523,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,0.0,0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,6,1.0,0.0,1.0,0.0,1.0,0.0,0.8124888888888888,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,0.0,0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,7,1.0,0.0,1.0,0.0,1.0,0.0,0.8124888888888888,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,-0.0864184498786926,0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,8,1.0,0.0,1.0,0.0,1.0,0.0,0.8124888888888888,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,0.0,0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,9,1.0,0.0,1.0,0.0,1.0,0.0,0.8124888888888888,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,-0.0575749925945116,0.0,2.8039395809173584,0.1026
