dataset,partition,num_clients,seed,round,client_id,global_l1o_rob,l1o_rob_contribution,global_l1o_adv,l1o_adv_contribution,global_l1o_fair,l1o_fair_contribution,global_l1o_priv,l1o_priv_contribution,l1o_priv_abs_contribution,global_l1o_fair_eo,l1o_fair_eo_contribution,l1o_fair_eo_abs_contribution,accuracy,precision,recall,f1,loss,loss_contribution,acc_contribution,global_l1o_loss,global_l1o_acc
cifar,noniid,20,42,4,5,0.9460219740867616,0.0359479784965515,0.3657770800627943,0.2017899417991287,1.0,0.0,0.7594666666666667,0.0075777777777779,,0.9690625425541342,0.0105119646108988,0.0105119646108988,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,-0.0287802219390869,-0.0053999999999999,2.6883978843688965,0.1348
cifar,noniid,20,42,4,6,0.9460219740867616,-0.0424840450286865,0.3657770800627943,-0.5247338688423151,1.0,0.0,0.7594666666666667,-0.0641999999999998,,0.9690625425541342,-0.0223038394311079,0.0223038394311079,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,-0.0137920379638671,0.0228,2.6883978843688965,0.1348
cifar,noniid,20,42,4,7,0.9460219740867616,-0.0429840087890625,0.3657770800627943,-0.3735944541331391,1.0,0.0,0.7594666666666667,-0.0128222222222222,,0.9690625425541342,-0.0150024311720121,0.0150024311720121,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,0.0331599712371826,0.0234,2.6883978843688965,0.1348
cifar,noniid,20,42,4,8,0.9460219740867616,-0.0326000452041626,0.3657770800627943,-0.3492488266729569,1.0,0.0,0.7594666666666667,-0.0588888888888889,,0.9690625425541342,-0.0111705437834676,0.0111705437834676,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,-0.0375010967254638,0.01,2.6883978843688965,0.1348
cifar,noniid,20,42,4,9,0.9460219740867616,-0.0334960222244262,0.3657770800627943,-0.2896999517393258,1.0,0.0,0.7594666666666667,0.008622222222222,,0.9690625425541342,-0.0128444820405416,0.0128444820405416,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,-0.010953664779663,0.0174,2.6883978843688965,0.1348
cifar,noniid,20,42,4,10,0.9460219740867616,-0.0022300481796264,0.3657770800627943,0.1295701835110702,1.0,0.0,0.7594666666666667,-0.0054888888888888,,0.9690625425541342,0.0089282578068473,0.0089282578068473,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,0.0153648853302001,0.0126,2.6883978843688965,0.1348
cifar,noniid,20,42,4,11,0.9460219740867616,-0.034276008605957,0.3657770800627943,-0.1576886239083247,1.0,0.0,0.7594666666666667,-0.0413333333333332,,0.9690625425541342,-0.0069778070485544,0.0069778070485544,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,-0.0070807933807373,0.0214,2.6883978843688965,0.1348
cifar,noniid,20,42,4,12,0.9460219740867616,-0.0334920287132263,0.3657770800627943,-0.1790257873207182,1.0,0.0,0.7594666666666667,-0.0184444444444442,,0.9690625425541342,-0.01037165898474,0.01037165898474,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,-0.0074377059936523,0.019,2.6883978843688965,0.1348
cifar,noniid,20,42,4,13,0.9460219740867616,-0.0366900563240051,0.3657770800627943,-0.4377316918670302,1.0,0.0,0.7594666666666667,-0.0189999999999999,,0.9690625425541342,-0.0165669835650907,0.0165669835650907,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,-0.0446612834930419,0.0138,2.6883978843688965,0.1348
cifar,noniid,20,42,4,14,0.9460219740867616,-0.0393240451812744,0.3657770800627943,-0.4170696352656728,1.0,0.0,0.7594666666666667,-0.0238222222222221,,0.9690625425541342,-0.0164692688976577,0.0164692688976577,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,-0.0192334651947021,0.022,2.6883978843688965,0.1348
